key,en,km
hello,Hello,សួស្តី
welcome,Welcome,សូមស្វាគមន៍
cart,Cart,កន្ត្រក
free_shipping,Free delivery on orders over $15,ដឹកជញ្ជូនឥតគិតថ្លៃលើការបញ្ជាទិញលើស $15   
home,Home,ទំព័រដើម
shop,Shop,ហាង
all_products,All Products,ផលិតផលទាំងអស់
men,Men,បរុស
women,Women,ស្រ្ថី
boys,Boys,ប្រុស
girls,Girls,នារី
collections,Conllections,ប្រភេទអាវ
popular_products,Popular Products,ផលិតផលល្បីៗ
special_products, Special Products,ផលិតផលពិសេស
best_sellers, Best Sellters,ផលិតផលលក់ដាច់
sale,Sale,បញ្ចុះតម្លៃ
about_us,About Us,អំពីយើង

contact,Order,ការបញ្ជាទិញ
search,Search,ស្វែងរក
shop_by_category, Shop by Category,ទិញតាមប្រភេទ
shop_now, Show Now,ទិញឥឡូវនេះ
featured_products,Featured Products,ផលិតផលពិសេស 
new_arrivals,New Arrivals,ទំនិញថ្មី
featured,Featured,ពិសេស
add_to_cart,Add to Cart,ដាក់ចូលកន្ត្រក
favorite,Favorite,ចំណូលចិត្ត
view,View,ទស្សនៈ
summer_sale,Summer Sale,ការលក់រដូវក្តៅ
up to 50% off on selected items,Up to 50% off on selected items,បញ្ចុះតម្លៃរហូតដល់ ៥០% សម្រាប់ទំនិញមួយចំនួន
new_collections,New Collections,ប្រភេទថ្មី
check out our latest arrivals,Check out our latest arrivals,សូមមើលទំនិញមកដល់ថ្មីបំផុតរបស់យើង
up to 50% off on selected items,Up to 50% off on selected items,បញ្ចុះតម្លៃរហូតដល់ ៥០% សម្រាប់ទំនិញមួយចំនួន
discover,Discover,រកឃើញ
follow_us, Follow Us,តាមដានយើងតាម
under_follow_stay_update,Stay updated with our latest trends and products,ដើម្បីទទួលបានព័ត៌មានថ្មីៗអំពីនិន្នាការ និងផលិតផលចុងក្រោយបំផុតរបស់យើង
products,Products,ផលិតផល
category,Category,ប្រភេទ
t-shirt,T-shirt,អាវយឺត
polo_shirt,Polo Shirt,អាវប៉ូឡូ
graphic_tees,Graphic Tees,អាវយឺតបោះពុម្ពរូបភាព
long_sleeve,Long Sleeve,ដៃវែង
price_range,Price Range,តម្លៃចន្លោះពី
max_price,Max Proce,តម្លៃអតិបរមា
color,Colors,ពណ៌ 
size,Size,ទំហំ
clear_all_filters,Clear all Filters,លុបទាំងអស់
mens_shirt,Men's Shirt,អាវយឺតសម្រាប់បុរស
womens_shirt,Women's Shirt,អាវសម្រាប់ស្រ្ដី
boys_t-shirt,Boy's Shirt,អាវសម្រាប់ក្មេងប្រុស
